sequence,label
drake shit lol,0
india india,1
favorite song likes song like 2023smilingfacewithhalo,1
keep good work clappinghandsclappinghandspleadingfacepleadingfaceredheartredheartcheckmarkbuttoncheckmarkbuttonnigerianigeriaunitedstatesunitedstatesunitedarabemiratesunitedarabemirates,1
chris of ninety-seven,0
bieber fever lol,1
chase liked chased loudlycryingfacerollingonthefloorlaughing,0
one hundred fourteen sparkles,1
years passed still,1
nice slightlysmilingfacethumbsup,1
2k23 anyonebeamingfacewithsmilingeyesdizzy,0
dead,0
bug,0
cool grown man pretending sing like ten yrs old girl rollingonthefloorlaughing,0
song bopping day beamingfacewithsmilingeyes,1
friend saying slightlysmilingface,1
baby song headphone,1
song wow smilingfacewithhearteyesbeatingheart,1
legend still listening two thousand twenty-three feb,1
anyone listening two thousand twenty-three thinkingface,1
yet whey watching pop rock unitedstates,1
nobody eight yr old daydreaming justin bieber,1
wanted see many dislikes,0
one thousand forty god balloonballoonballoon,1
one thousand thirty-nine god foldedhandsfoldedhandsfoldedhands,1
one thousand thirty-eight god smilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyes,1
one thousand thirty-six god whiteheartwhiteheartwhiteheart,1
one thousand thirty-five god partypopperpartypopperpartypopper,1
one thousand thirty-four god grinningfacewithbigeyesgrinningfacewithbigeyesgrinningfacewithbigeyes,1
one thousand thirty-three god twoheartstwoheartstwohearts,1
one thousand thirty-two god smilingfacewithheartssmilingfacewithheartssmilingfacewithhearts,1
one thousand thirty-one god rabbitrabbitrabbit,1
breaking internet,0
fun fact sixteen made song,1
music amazing time machine,1
big dan justin,1
hold drake,1
ok insane made thirteen years ago today skullloudlycryingface,0
lol,1
know love,1
one listening two thousand twenty-three redheartfire time favourite,1
voice little justin sounds sooo good smilingfacewithhearteyes,1
never got hype still learn,0
bet justin still making money song,1
guys thanks keeping master piece alive till today let pledge let die,1
two thousand twenty-three let us see many people listening lovely songsparklesheartwithribbon,1
drake really video,1
two hundred two drake facewithraisedeyebrow,1
best partypopper,1
innocent days,0
two thousand twenty-three still favourite song heartexclamationheartexclamation,1
eighteen came thirty-two,1
yo love song much,1
song soooo smooooooth smilingfacewithopenhandstwohearts,1
lovefromsrilanka,1
funny mental tonic,1
baby baby ohhhhh,1
love song smilingfacewithhearteyessmilingfacewithheartssmilingfacewithhearts hereby algerian,1
people,1
twelve years still vibing much day one blueheartcherryblossom,1
twelve years,1
two thousand twenty-three simredheart,1
to,0
still listening 2023wearyfacesmilingfacewithhearteyesstarstruck,0
came watch one first proper english song,1
nigga hair got laughing,1
literally twenty-five wine drunk jamming shit singing bong lao,0
kqkejxdmjzmdkdkxjdhdnjdndjdfhkrjdkkxflatshoeflatshoefacewithtearsofjoy,1
legend watching two thousand twenty-three,1
song really encompasses crush feels like truly iconic song,1
still listening two thousand twenty-three,1
one hundred fourteen drake,1
around different country listen music,1
amazing song sparkleshundredpointsthumbsupmediumskintone,1
redhead song,1
love,1
totally crazy smilingfacewithsunglassesgrinningsquintingfacegrinningsquintingface,0
drake side lmaooloudlycryingfaceloudlycryingfaceloudlycryingface,0
main girl video break back,0
remember fifteen hear song two hundred forty-seven,1
listen ludacris,1
justin,1
baby ftluac,1
like song baby never die,1
greenhearteyes,1
follow,1
ist song still hits lot,1
two thousand twenty-three victoryhandlightskintoneredheartsmilingfacewithheartslocked,1
subscribe,1
whenever heard masterpiece reminds school days,1
twenty-three million likes must good well loved song,1
one thousand thirty god revolvingheartsrevolvingheartsrevolvinghearts,1
one thousand twenty-nine god rabbitfacerabbitfacerabbitface,1
one thousand twenty-seven god starstruckstarstruckstarstruck,1
one thousand twenty-six god ghostghostghost,1
let honest justin bieber owned world days song released,1
one thousand twenty-five god smilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyes,1
one thousand twenty-four god yellowheartyellowheartyellowheart,1
one thousand twenty-three god blackheartblackheartblackheart,1
one thousand twenty-two god greenheartgreenheartgreenheart,1
one thousand twenty-one god tuliptuliptulip,1
think thinkingface miss life downcastfacewithsweatloudlycryingfaceloudlycryingfaceloudlycryingface favourite reaper beaver live baby downcastfacewithsweat,0
always listen song remember one person perseveringface,1
anyone two thousand twenty-three remember,1
hey comment reader fromkissingfacewithclosedeyes,0
love baby revolvinghearts,1
nice song,1
love songs justin bieber,1
damn bro almost three billion,0
looked forgot song,1
one thousand twenty god roseroserose,1
one thousand eighteen god smilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyes,1
one thousand seventeen god heartsuitheartsuitheartsuit,1
one thousand sixteen god rollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughing,1
one thousand fifteen god winkingfacewithtonguewinkingfacewithtonguewinkingfacewithtongue,1
one thousand fourteen god wiltedflowerwiltedflowerwiltedflower,1
one thousand thirteen god sparklingheartsparklingheartsparklingheart,1
one thousand twelve god grinningfacegrinningfacegrinningface,1
one thousand ten god balloonballoonballoon,1
one thousand eight god smilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyes,1
one thousand six god whiteheartwhiteheartwhiteheart,1
one thousand five god partypopperpartypopperpartypopper,1
one thousand four god grinningfacewithbigeyesgrinningfacewithbigeyesgrinningfacewithbigeyes,1
one thousand three god twoheartstwoheartstwohearts,1
one thousand two god smilingfacewithheartssmilingfacewithheartssmilingfacewithhearts,1
one thousand one god rabbitrabbitrabbit,1
one two thousand twenty-three smilingfacewithhearteyesfaceblowingakiss,1
song still alive relievedface,1
recalling london days two thousand ten checkmate,1
drake song skullloudlycryingfaceloudlycryingfaceloudlycryingface,0
still listen song,1
anyone two thousand twenty-three,0
song never get old redhead,1
hey girls guy marred,0
like,1
listen song too much understand still fuduuuuufacewithtearsofjoyfacewithtearsofjoy,0
two thousand twenty-three,1
hamburger,0
banger,1
never get oldokhandghosthourglassnotdone,1
movie name,1
two thousand twenty-three walk like,1
six hundred sixty,0
beamingfacewithsmilingeyeshouseepoif folks,1
wonderful,1
song never get old megrowingheart,1
subscribed,1
remember song dislike button removed,0
india even two thousand twenty-three long song work,1
fact get older song touches redhead,1
hay qu,1
listening masterpiece two thousand twenty-three redheartredheartredheartredheartredheartredheartredheart,1
two thousand twenty-three song still favourite song god bless family biebersmilingfacewithhalo,1
two hundred seventeen luna killing,0
leaning song 2023redheart,1
would done whatever believe together want play cool losing hits hardddd loudlycryingface,0
still fresh damnpleadingfaceloudlycryingface,0
nice song super okhandokhandhundredpoints,1
kill ok,0
dislike song get stuck head listen it,0
came see opinion changed twelve years nope still bad remembered,0
oh wushu oh day uh know love girl item keep playing,1
still listen 2023partypopper,1
cool cool heartwithribbonheartwithribbon love,1
love song song touch heart,1
two thousand twenty-three listening song love yada justin,1
sherry read love,1
song carries beautiful memories beautiful years lived,1
love music,1
wanted obama,1
te amo,1
like so,1
top top top top top top top top top top,1
everyone going kids teenager adult middle age song vibe future generation,1
songs listen late night chilling thinking heroin,1
two thousand twenty-three loudlycryingfacesparklingheart,1
one thousand god yellowheartyellowheartyellowheart,1
nine hundred ninety-nine god ghostghostghost,1
nine hundred ninety-seven god greenheartgreenheartgreenheart,1
nine hundred ninety-six god tuliptuliptulip,1
nine hundred ninety-five god growingheartgrowingheartgrowingheart,1
nine hundred ninety-three god heartwithribbonheartwithribbonheartwithribbon,1
nine hundred ninety-two god rabbitfacerabbitfacerabbitface,1
nine hundred ninety-one god blueheartblueheartblueheart,1
nine hundred ninety god crowncrowncrown,1
nine hundred eighty-nine god beatingheartbeatingheartbeatingheart,1
nine hundred eighty-eight god roseroserose,1
nine hundred eighty-six god rabbitrabbitrabbit,1
nine hundred eighty-four god smilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyes,1
nine hundred eighty-three god heartsuitheartsuitheartsuit,1
nine hundred eighty-two god rollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughing,1
nine hundred eighty-one god winkingfacewithtonguewinkingfacewithtonguewinkingfacewithtongue,1
nine hundred eighty god wiltedflowerwiltedflowerwiltedflower,1
nine hundred seventy-eight god sparklingheartsparklingheartsparklingheart,1
nine hundred seventy-seven god grinningfacegrinningfacegrinningface,1
nine hundred seventy-five god balloonballoonballoon,1
nine hundred seventy-four god foldedhandsfoldedhandsfoldedhands,1
nine hundred seventy-three god smilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyes,1
nine hundred seventy-one god whiteheartwhiteheartwhiteheart,1
ten years ago wow banger to cringe job one fav artists hate,1
bully tobey maguire dancing proud,1
favorite songs remind crush,1
let see many listening song 2023sparkles,1
nine hundred seventy god partypopperpartypopperpartypopper,1
nine hundred sixty-nine god grinningfacewithbigeyesgrinningfacewithbigeyesgrinningfacewithbigeyes,1
nine hundred sixty-eight god twoheartstwoheartstwohearts,1
nine hundred sixty-six god revolvingheartsrevolvingheartsrevolvinghearts,1
song stop bear attacking,1
nine hundred sixty-four god yellowheartyellowheartyellowheart,1
nine hundred sixty-three god ghostghostghost,1
nine hundred sixty-two god blackheartblackheartblackheart,1
nice song love redheartredheartredheartredheart,1
nine hundred sixty-one god greenheartgreenheartgreenheart,1
nine hundred sixty god tuliptuliptulip,1
nine hundred fifty-nine god growingheartgrowingheartgrowingheart,1
nine hundred fifty-eight god heartwitharrowheartwitharrowheartwitharrow,1
nine hundred fifty-seven god heartwithribbonheartwithribbonheartwithribbon,1
nine hundred fifty-six god rabbitfacerabbitfacerabbitface,1
nine hundred fifty-five god blueheartblueheartblueheart,1
nine hundred fifty-four god crowncrowncrown,1
nine hundred fifty-three god beatingheartbeatingheartbeatingheart,1
nine hundred fifty-two god roseroserose,1
nine hundred fifty-one god starstruckstarstruckstarstruck,1
nine hundred fifty god rabbitrabbitrabbit,1
nine hundred forty-eight god smilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyes,1
nine hundred forty-seven god heartsuitheartsuitheartsuit,1
nine hundred forty-six god rollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughing,0
nine hundred forty-five god winkingfacewithtonguewinkingfacewithtonguewinkingfacewithtongue,1
nine hundred forty-four god wiltedflowerwiltedflowerwiltedflower,1
nine hundred forty-two god sparklingheartsparklingheartsparklingheart,1
nine hundred forty-one god grinningfacegrinningfacegrinningface,1
nine hundred thirty-nine god balloonballoonballoon,1
nine hundred thirty-eight god foldedhandsfoldedhandsfoldedhands,1
nine hundred thirty-seven god smilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyes,1
nine hundred thirty-five god whiteheartwhiteheartwhiteheart,1
nine hundred thirty-four god partypopperpartypopperpartypopper,1
nine hundred thirty-three god grinningfacewithbigeyesgrinningfacewithbigeyesgrinningfacewithbigeyes,1
nine hundred thirty-two god twoheartstwoheartstwohearts,1
nine hundred thirty-one god smilingfacewithheartssmilingfacewithheartssmilingfacewithhearts,1
nine hundred thirty god revolvingheartsrevolvingheartsrevolvinghearts,1
nine hundred twenty-eight god yellowheartyellowheartyellowheart,1
nine hundred twenty-seven god ghostghostghost,0
nine hundred twenty-six god blackheartblackheartblackheart,1
nine hundred twenty-five god greenheartgreenheartgreenheart,1
nine hundred twenty-four god tuliptuliptulip,1
year,1
rudi,1
hey honest first time know never thought voice high,0
nine hundred twenty-three god blueheartblueheartblueheart,1
nine hundred twenty-two god crowncrowncrown,1
nine hundred twenty-one god beatingheartbeatingheartbeatingheart,1
nine hundred twenty god roseroserose,1
nine hundred nineteen god starstruckstarstruckstarstruck,0
nine hundred eighteen god rabbitrabbitrabbit,1
nine hundred sixteen god smilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyes,1
nine hundred fifteen god heartsuitheartsuitheartsuit,1
nine hundred fourteen god rollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughing,1
nine hundred thirteen god winkingfacewithtonguewinkingfacewithtonguewinkingfacewithtongue,1
nine hundred twelve god wiltedflowerwiltedflowerwiltedflower,1
big fan smilingfacesmilingfacesmilingfacesmilingface,1
really like song laws laws,1
iron maidenmetallica leadeth slayer best,1
help turkey,1
2023handwithfingerssplayedfire,1
realized drake one hundred twenty-one,1
let reverse song,0
congratulations world dislike video,1
actually first love,1
seeing justin two thousand twenty-three like wow,1
old goldsmilingfacewithsmilingeyessmilingfacewithopenhands,1
believe song older still fav heartexclamation heartsuitsparklingheart,1
indian est song heard english,1
heartsuitsparkles,1
wow video twenty-three million likes means people probably liked lot came right,1
curiosity dislikes likes grinningfacewithsweat,0
two thousand twenty-three still fave song,1
still unbelievable,1
any,1
get song wearyfacewhiteheart,0
taking trip memory lane song plus why always,1
powerful music radio youtube ever facewithtearsofjoy,1
justin bieber sing song great,1
two hundred two realizing drake,1
legend watching video twelve years ago,1
brush like song see unlike oh god bad,0
see michael jackson forgot name,1
noticed gettin sturdyskull,1
love,1
drake two hundred two lmaoooo wif,0
legend watching two thousand twenty-three eyes,1
review fifteen years late,1
love songpartypopper,1
want childhood back real,0
nine hundred nine god balloonballoonballoon,1
nine hundred eight god foldedhandsfoldedhandsfoldedhands,1
nine hundred seven god smilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyes,1
nine hundred five god whiteheartwhiteheartwhiteheart,0
nine hundred four god partypopperpartypopperpartypopper,1
nine hundred three god grinningfacewithbigeyesgrinningfacewithbigeyesgrinningfacewithbigeyes,0
nine hundred two god twoheartstwoheartstwohearts,1
nine hundred one god smilingfacewithheartssmilingfacewithheartssmilingfacewithhearts,1
song never gets old ndimakuruwani ava vakabata number,1
took back days heartexclamation,1
hit like watching 2k23,1
ayo two thousand twenty-three,1
childhood love,1
please reply comment ironically still listen nothing bad promise,1
shameless heartsuitheartsuitheartsuitheartsuitheartsuit,1
mom showed love faceblowingakiss,1
numbers likes recent comments proves song never getting old sparkles,1
go,1
hate sing singer justin bieber live continue prove deserves lot forever job,0
nine hundred god revolvingheartsrevolvingheartsrevolvinghearts,1
eight hundred ninety-eight god yellowheartyellowheartyellowheart,1
eight hundred ninety-seven god ghostghostghost,0
eight hundred ninety-six god blackheartblackheartblackheart,1
eight hundred ninety-five god greenheartgreenheartgreenheart,1
eight hundred ninety-four god tuliptuliptulip,1
eight hundred ninety-three god growingheartgrowingheartgrowingheart,1
eight hundred ninety-two god heartwitharrowheartwitharrowheartwitharrow,1
eight hundred ninety-one god heartwithribbonheartwithribbonheartwithribbon,1
eight hundred ninety god rabbitfacerabbitfacerabbitface,1
eight hundred eighty-nine god blueheartblueheartblueheart,1
eight hundred eighty-eight god crowncrowncrown,1
eight hundred eighty-seven god beatingheartbeatingheartbeatingheart,1
eight hundred eighty-six god roseroserose,1
eight hundred eighty-five god starstruckstarstruckstarstruck,1
eight hundred eighty-four god rabbitrabbitrabbit,1
eight hundred eighty-two god smilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyes,1
eight hundred eighty-one god heartsuitheartsuitheartsuit,1
eight hundred eighty god rollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughing,1
eight hundred seventy-nine god winkingfacewithtonguewinkingfacewithtonguewinkingfacewithtongue,1
eight hundred seventy-eight god wiltedflowerwiltedflowerwiltedflower,1
raise hand watching two thousand twenty-three,1
eight hundred seventy-six god grinningfacegrinningfacegrinningface,1
wow remained beautiful even two thousand twenty-three,1
ugh two thousand twenty-three still love justin,0
job legend really,1
two thousand twenty-three song rocking,1
eight hundred seventy-four god sparklingheartsparklingheartsparklingheart,1
eight hundred seventy-three god balloonballoonballoon,1
eight hundred seventy-two god foldedhandsfoldedhandsfoldedhands,1
eight hundred seventy-one god smilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyes,1
eight hundred sixty-nine god whiteheartwhiteheartwhiteheart,1
eight hundred sixty-eight god partypopperpartypopperpartypopper,1
eight hundred sixty-seven god grinningfacewithbigeyesgrinningfacewithbigeyesgrinningfacewithbigeyes,1
eight hundred sixty-six god twoheartstwoheartstwohearts,1
eight hundred sixty-five god smilingfacewithheartssmilingfacewithheartssmilingfacewithhearts,1
eight hundred sixty-four god revolvingheartsrevolvingheartsrevolvinghearts,1
eight hundred sixty-two god yellowheartyellowheartyellowheart,1
eight hundred sixty-one god ghostghostghost,1
eight hundred sixty god blackheartblackheartblackheart,1
eight hundred fifty-nine god greenheartgreenheartgreenheart,1
eight hundred fifty-eight god tuliptuliptulip,1
eight hundred fifty-seven god growingheartgrowingheartgrowingheart,1
eight hundred fifty-six god heartwitharrowheartwitharrowheartwitharrow,1
eight hundred fifty-five god heartwithribbonheartwithribbonheartwithribbon,1
eight hundred fifty-four god rabbitfacerabbitfacerabbitface,1
eight hundred fifty-three god blueheartblueheartblueheart,1
eight hundred fifty-one god beatingheartbeatingheartbeatingheart,1
eight hundred fifty god roseroserose,1
eight hundred forty-nine god starstruckstarstruckstarstruck,1
eight hundred forty-eight god rabbitrabbitrabbit,1
eight hundred forty-six god smilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyes,1
eight hundred forty-five god rollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughing,1
him likes hushedfacesmilingfacewithopenhands,1
2023eyesfacewithtearsofjoy,1
spotted drake,1
memories smilingfacewithhearteyessmilingface,1
advance congratulations ab,1
drake hanging teenagersrollingonthefloorlaughingrollingonthefloorlaughing,0
else noticed drake,1
two thousand twenty-three still going mad song heartsuitsparkles,1
certified hood classic,1
wowfacescreaminginfearfaceblowingakiss,1
6thfeb2023still hit fire,0
many views sounds nice,1
2023smilingfacewithopenhands,1
india song famous india,1
overrated for,0
nigga and rabbi,1
childhood memories owned world time,1
like okay chased around building shoved face face couple times give,0
thirteen years,1
noticed drake one hundred fourteen,1
japanese love songredheartredheart,1
smilingfacesmilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyes,1
dizzy drake group,0
really nice songsmilingfacewithhearteyessmilingfacewithhearteyes of justin,1
two thousand twenty-three,1
torture facewithtearsofjoy,0
bro torture,0
drake,0
oh really energetic mindblowing superior best song world,1
eight hundred forty-four god winkingfacewithtonguewinkingfacewithtonguewinkingfacewithtongue,1
eight hundred forty-three god wiltedflowerwiltedflowerwiltedflower,1
eight hundred forty-one god grinningfacegrinningfacegrinningface,1
eight hundred thirty-nine god sparklingheartsparklingheartsparklingheart,1
eight hundred thirty-eight god balloonballoonballoon,1
eight hundred thirty-seven god foldedhandsfoldedhandsfoldedhands,1
eight hundred thirty-six god smilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyes,1
eight hundred thirty-four god whiteheartwhiteheartwhiteheart,1
eight hundred thirty-three god partypopperpartypopperpartypopper,1
eight hundred thirty-two god grinningfacewithbigeyesgrinningfacewithbigeyesgrinningfacewithbigeyes,1
eight hundred thirty-one god twoheartstwoheartstwohearts,1
eight hundred thirty god smilingfacewithheartssmilingfacewithheartssmilingfacewithhearts,0
eight hundred twenty-nine god revolvingheartsrevolvingheartsrevolvinghearts,1
eight hundred twenty-seven god yellowheartyellowheartyellowheart,1
eight hundred twenty-six god ghostghostghost,1
eight hundred twenty-five god blackheartblackheartblackheart,1
eight hundred twenty-four god greenheartgreenheartgreenheart,1
eight hundred twenty-three god tuliptuliptulip,1
eight hundred twenty-two god growingheartgrowingheartgrowingheart,1
eight hundred twenty-one god heartwitharrowheartwitharrowheartwitharrow,1
six hundred twelve thousand twenty-three,1
eight hundred twenty god heartwithribbonheartwithribbonheartwithribbon,1
eight hundred nineteen god rabbitfacerabbitfacerabbitface,1
eight hundred eighteen god blueheartblueheartblueheart,1
eight hundred seventeen god crowncrowncrown,1
eight hundred sixteen god roseroserose,1
eight hundred fifteen god starstruckstarstruckstarstruck,1
eight hundred twelve god smilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyes,1
eight hundred eleven god heartsuitheartsuitheartsuit,1
eight hundred ten god rollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughing,0
eight hundred nine god winkingfacewithtonguewinkingfacewithtonguewinkingfacewithtongue,1
eight hundred eight god wiltedflowerwiltedflowerwiltedflower,1
eight hundred six god grinningfacegrinningfacegrinningface,1
eight hundred four god sparklingheartsparklingheartsparklingheart,1
eight hundred three god balloonballoonballoon,1
eight hundred two god foldedhandsfoldedhandsfoldedhands,1
eight hundred one god smilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyes,1
thumbsdown,1
29mlr people watch songfacewithspiraleyes,1
time,1
jail upper phone yellow resume,0
hi kitty witty,1
sorry every thing puked every comment say meet mee holy every problem problem,0
various vicious mused,1
liked god,1
personal problem heart problems,0
time every song missed moved,0
hi babes time bedroom floor next song,1
hi babe left ten month kendall energy,0
shame listen type songs anymore cryingface,0
never hard waste space earth,0
still blast school trips,1
two thousand twenty-three musicalnote drop like redhead,1
love baby,1
commenting part legendary chat,1
come add dislike,0
his india two thousand twenty-three,1
still listening song two thousand twenty-three,1
happy thirteen year old loudlycryingfacelatincrossredheart,1
anyone listen songs mom dad zanyface,1
justin insane jizz,0
think break argentine flag,0
watching two thousand twenty-three,1
bhojpuri films main hot hai facewithtearsofjoyfacewithtearsofjoy,1
love one much,1
legend waiting 2023rollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughing,1
baby baby baby ohhhhhhhhh,1
reason song reminds ga san andreas personshrugging,1
childhood song newmoonfaceoncomingfistmediumlightskintone,1
justin bieber firefirefirefirefirefirestarstarstarstarstarglowingstarsmilingfacewithhearts,1
smilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartsredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartredheartspeaknoevilmonkeyredheart,1
always favorite song smilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithheartssmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyesstarstruckfaceblowingakiss,1
drake also,1
name bump twenty-nine,1
love manjufaceblowingakissfaceblowingakiss en wife manjupersonwithveilrevolvingheartsfaceblowingakissfaceblowingakiss,1
love justin heartsuit,1
get white boys ufo agatha type shit,0
fair,1
drake without beard,1
let honest justin bieber owned world days song,1
2023smilingfacewithhalosmilingfacewithhalolengend never change listen like itbackhandindexpointingdown,1
legend listening 2023grinningfacewithsweatwinkingface,1
song actually fire,1
almost thirteen years,1
growing realizing song banger,1
song disliked videos song never get oldredheartredheartredheartredheartredheartredheart,1
five twenty-two thousand twenty-three let see many legend watching masterpiece song watching sparklingheartsparklingheartsparklingheartsparklingheart,1
listening two thousand twenty-three,1
look little hetero groomer trying force sex children,0
love india eyesredheartsparkles,1
love song,1
tell favorite song,0
love baby boy faceblowingakissfaceblowingakiss,1
love song like,1
love song much first love for,1
drake one hundred fourteen explodingheadfacescreaminginfearfacescreaminginfear,0
love song india,1
justin sweetheart,1
bro get friendzone,0
love songs justin bieber much smilingfacewithsmilingeyessmilingfacewithhearteyesfacewithtearsofjoyredheartsmilingfacewithhearteyessmilingfacewithsmilingeyessmilingfacewithhearteyesbeamingfacewithsmilingeyesredheartredheartsmilingfacewithhearteyessmilingfacewithsmilingeyesrollingonthefloorlaughingbeamingfacewithsmilingeyessmilingfacewithhearteyessmilingfacewithsmilingeyessmilingfacewithhearteyesbeamingfacewithsmilingeyesredheartsmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithsmilingeyessmilingfacewithsmilingeyes favourite singer grinningfacewithsweatrollingonthefloorlaughinggrinningfacewithsweatwinkingfacewinkingfacegrinningfacewithsweatgrinningfacewithsweatrollingonthefloorlaughinggrinningfacewithsweatrollingonthefloorlaughingrollingonthefloorlaughinggrinningfacewithsweatgrinningfacewithsweat,1
back thought justin bieber girl,0
one hundred thirteen soooo drake,1
ana sing also also,1
little wired,0
love favorite song cute,1
seven hundred ninety-nine god whiteheartwhiteheartwhiteheart,1
seven hundred ninety-seven god grinningfacewithbigeyesgrinningfacewithbigeyesgrinningfacewithbigeyes,1
seven hundred ninety-six god twoheartstwoheartstwohearts,1
seven hundred ninety-five god smilingfacewithheartssmilingfacewithheartssmilingfacewithhearts,1
seven hundred ninety-four god revolvingheartsrevolvingheartsrevolvinghearts,1
seven hundred ninety-two god yellowheartyellowheartyellowheart,1
seven hundred ninety-one god ghostghostghost,1
seven hundred ninety god blackheartblackheartblackheart,1
seven hundred eighty-nine god greenheartgreenheartgreenheart,1
seven hundred eighty-seven god tuliptuliptulip,1
seven hundred eighty-six god growingheartgrowingheartgrowingheart,1
seven hundred eighty-five god heartwitharrowheartwitharrowheartwitharrow,1
seven hundred eighty-four god heartwithribbonheartwithribbonheartwithribbon,1
seven hundred eighty-three god rabbitfacerabbitfacerabbitface,1
seven hundred eighty-two god blueheartblueheartblueheart,1
seven hundred eighty-one god crowncrowncrown,1
seven hundred eighty god beatingheartbeatingheartbeatingheart,1
seven hundred seventy-nine god roseroserose,1
seven hundred seventy-eight god starstruckstarstruckstarstruck,1
seven hundred seventy-seven god rabbitrabbitrabbit,1
seven hundred seventy-five god smilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyes,1
seven hundred seventy-four god heartsuitheartsuitheartsuit,1
seven hundred seventy-three god rollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughing,1
seven hundred seventy-two god winkingfacewithtonguewinkingfacewithtonguewinkingfacewithtongue,1
seven hundred seventy-one god wiltedflowerwiltedflowerwiltedflower,1
seven hundred sixty-nine god grinningfacegrinningfacegrinningface,1
seven hundred sixty-seven god sparklingheartsparklingheartsparklingheart,1
seven hundred sixty-six god balloonballoonballoon,1
seven hundred sixty-five god foldedhandsfoldedhandsfoldedhands,1
seven hundred sixty-four god smilingfacewithsmilingeyessmilingfacewithsmilingeyessmilingfacewithsmilingeyes,1
songwinkingfacewithtongue,1
redheartredheartredheartredheartredheartredheartgrinningfacewithsweat2023,1
almost thirteen years later song still blows cocks,1
almost forgot drake goofy ass skullskull,1
song always best song,1
anthem internet,1
one hundred fourteen draaaakkeee,1
listen hate juts capture,1
song sensation,1
little kid grown man,0
anyone two thousand twenty-three,1
yo girl god damn flat hell,0
nice song musicalnote,1
bangladeshbangladeshbangladesh,0
cool least one person listening song time every time listen ad,1
feb two thousand twenty-three king job still owns youtube,1
think kids song ex wife took away court believed story come back babies,1
grinningfacewithsmilingeyesgrinningfacewithsmilingeyesgrinningfacewithsmilingeyesgrinningfacewithsmilingeyesgrinningfacewithsmilingeyesfaceblowingakissfaceblowingakissfaceblowingakissfaceblowingakissfaceblowingakisssmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithhearteyessmilingfacewithheartssmilingfacewithheartssmilingfacewithheartswinkingfacewithtonguewinkingfacewithtonguegrinningsquintingfacegrinningsquintingfacegrinningsquintingfacegrinningfacewithbigeyesgrinningfacewithbigeyesgrinningfacewithbigeyes,1
justin fiber rocks,1
good song,1
masterpiece never getting oldsmilingfacewithheartsredhearthundredpointsredheart,1
nooooo mean slayedloudlycryingfacegrowingheart,0
legends see real video two thousand twenty-three smilingfacewithhearts,1
song good smilingfacewithheartssmilingfacewithhearts,1
baby baby baby please dance moves anymore,0
dance moves bad though like ok like seriously,0
rolls table unless,0
want fucking ring want leave alone,0
touch man,0
heart thing,1
like legal,1
bro stop,0
bro running away,1
goes kiss right said,1
moves like bring,1
latterly pulls shirt technically harassing,0
show bowling,1
nice song super,1
know drake video clip back watch one hundred fourteen,1
song soo good thumbsupthumbsup,1
love justin bieber,1
made sad girl broke yesterday,0
